ano,mês,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31
1975,1,6.8,16,0,0,4.6,0,0,7.4,0,1.6,0,0,0,0,0,0,0,0,2.4,0,57,3,7.4,0,6.4,0,0,3.6,43.8,0,6.8
1975,2,0,3,3,44.4,21.8,6.8,16.4,0,3.4,0,0,8.2,1.4,1.7,1.6,23.4,8.2,1.4,0,1.2,0,0,27,32.8,4.6,0,8.6,2.6,,,
1975,3,39.2,29,8.6,1.4,1.2,4.6,4.4,20.6,8.6,1.2,2,3.8,2.8,2.6,0,5.8,9.2,9.2,1.8,0,5.2,8.4,17.2,9.8,9.4,6.8,0,5.2,0,0,0
1975,4,35.6,1,0,0,0,3.2,0,3,0,0,31.4,17.2,69.4,14.2,51.2,6.2,3.2,3.2,20.6,0,5.2,0,18.2,0,0,57.6,33.8,7.2,20.2,0,
1975,5,0,0,4.4,3.2,0,3,10.2,0,0,0,0,0,14.2,5.2,10.2,0,15.6,16.8,2.4,0,2.6,0,0,0,0,0,0,0,0,0,0
1975,6,0,6.2,4.3,0,2.2,0,0,0,2.6,0,0,0,0,0,0,0,0,0,2.4,0,1.3,0,0,0,0,0,5.6,0,0,0,
1975,7,0,0,0,0,0,1.1,0,0,17.2,0,0,0,0.5,0,0,0,0,11,0,3.6,0,0,0,0,0,0,0,0,0,0,0
1975,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0
1975,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,0,0,
1975,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0
1975,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,3.2,0,0,0,0,0,0,0,0,4.6,22.2,0,0,
1975,12,0,0,8.6,3.2,0,34.2,28.2,0,0,0,6,13.6,0,0,0,0,0,0,0,10.4,16,0,1.2,0,0,5.8,2.8,5.6,19.8,0,11
1976,1,22,1.4,1.3,8.2,0,0,10.1,7.2,5.4,8.4,0,0,0,0,0,0,0,0,7.4,5,5.2,5.6,1.6,15.4,0,17.8,0,0,0,0,0
1976,2,3,8.6,0,70.2,12.3,33.2,0,19.8,8.2,19.4,0,0,0,0,0,70.6,0,20.2,8.6,0,10.4,0,0,24.2,16.8,27.4,0,0,4,,
1976,3,0,0,33.8,9.8,0,34.8,13.2,0,2.4,7.2,9.6,14.2,0,0,5.2,12.6,10.4,0,0,19,2.4,0,0,0,0,7.2,6.6,6.4,15.8,10.2,26
1976,4,87,19.8,0,3.8,0,27.4,28.2,0,0,0,0,3.2,2.2,1.4,5.8,0,0,4.8,26.8,0,6.4,0,0,20.2,2.2,0,0,0,0,0,
1976,5,0,0,1.8,26,20.6,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
1976,6,0,0,22.6,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1976,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1976,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,40.2,1.1,6,0,0,0,0,0,0,0,0,0,0,0,0,10.4
1976,11,2.9,0,0,0,0,0,0,0,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1976,12,4.4,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,2.4,0,0,0,0,23.4,0,0,41.8,0,0,1.8,8.8,0,1.3,19.6
1977,1,31.4,22,0,0,0,0,12.2,0,5.2,22.6,0,4.8,0,0,2.2,0,3.2,15.8,0,3.8,31.6,0,0.8,0.6,8.6,38,6.2,0,3.3,0,12.8
1977,2,0,1.6,0,0,3.2,0,6.9,13.8,15.4,10.4,7.8,28.8,4,5,2.4,0,0,0,0,4.6,37.2,22.4,0,13.8,7,14.8,11.6,3.6,,,
1977,3,0,17,3.3,12.2,27.2,14.8,0,3.8,6.2,7.4,10.8,31,40.8,41.4,0,0,4.6,2.6,28.4,16,0,1.9,25.6,0,0,0,12.4,0,10.8,0,1.6
1977,4,40.7,0,0,6,39.8,0,0,1.1,6.6,34.2,2,6.6,31.2,20.2,0,0,0,0,0,0,7.2,15.2,0,23.4,0,39.8,18.6,42.4,0,0,
1977,5,0,17.6,7,9.2,69.6,8.8,30.2,25.5,5.8,4,0,0,6.2,2,1.7,0,4.1,4.3,0,0,2.4,4.8,0,1.8,0,0,0,0,0,0,0
1977,6,0,0,0,7,0,0,0,2.1,3.1,1.4,61.2,2.2,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1977,7,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,5.8,0
1977,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,18.8,0,0,0,0,2.3,
1977,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1977,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,137.2,0,0,0,0,0,0,0,0,0,45.4,31.4,0,0,0,0
1978,1,0,0,0,1.4,0,1.3,6.4,11,0,16.2,23.3,3.2,0,3.8,0,5.4,7.2,0,15.2,2.4,0,2.5,0,15,6.6,0,1.2,0,0,3.6,2.4
1978,2,0,0,0,0.8,2.7,0.7,0,0,113.8,39.2,13.2,2,2.5,9.8,4.8,0,0,0,0,0,0,0,0,25.4,0,0,0,19.4,,,
1978,3,18,3.1,58.6,56,3.7,10.2,7.2,0,11.8,6.2,0,7.4,0,11.8,3.8,3.1,8,17.2,0,0,0,2.8,29.4,0,2.5,5.4,4.6,0,1.9,19.2,0
1978,4,1.9,0.7,0,6.8,31.4,0,0,0,0,0,4.2,0,5.4,30,0,0,0,0,13.4,0,0,0,6.2,1.2,49.8,9,15.2,12.8,6.2,10.4,
1978,5,0,3.7,0,18,10.2,14,0,19.4,58.6,0,4.6,0,0,4.4,6.6,0,33.2,3.8,0,0,10.8,0,2.5,0,0,0,0,0,0,0,0
1978,6,0,6.8,0,0,0,0,14.8,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,
1978,7,0,0,0,0,0,0,0,0,0,0,2.6,1.8,11.4,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0
1978,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,9,0,20.8,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1978,10,0,0,0,0,0,0,0,25,30.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.4,
1978,12,0,0,9.6,6,0,0,67.8,0,0,0,0,0,21,0,0,0,0,0,6.4,0,16,0,30,10,15,0,0,0,3,0,0
1979,1,0,5,0,0,0,0,0,0,0,0,0,0,9,12,6,0,6.4,75.8,0,19,25,0,8,0,0,0,10,0,15,14,0
1979,2,0,0,0,6,9.8,0,78.4,28.4,61.8,10.4,10.2,0,0,0,0,0,0,0,0,20,0,0,0,0,0,14,16,31,,,
1979,3,0,26,0,0,0,23.4,0,0,0,0,20.4,0,0,0,4.2,6,7.6,6,0,20.4,3.8,32.6,5.4,5,8,0,0,20,2.2,0,0
1979,4,0,7.8,0,19,0,0,31.4,0,0,12.4,0,0,20,0,0,0,0,0,4.2,11.4,7.4,0,0,16.2,150.4,0,0,29.8,0,0,
1979,5,27.2,28.2,18.4,0,36.4,0,1.8,0,0,0,0,22.8,0,0,0,84,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1979,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,42,0,0,0,4.2,0
1979,9,0,0,0,0,6.4,4.2,0,0,0,0,0,0,0,0,23.8,0,0,6,0,0,0,36,0,0,0,0,0,4,0,0,
1979,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,0,0,0,0,0,0
1979,11,0,0,0,0,0,2.6,0,0,0,0,0,0,4.8,0,0,0,0,37.8,0,0,0,0,0,0,0,0,0,0,0,0,
1979,12,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,52.6,0,80.4,0,30.2,0,50.4,0,0,0,0,0,0,0,0,25
1980,1,0,0,0,0,0,0,0,0,10,10.6,0,31.8,0,6,81,0,0,0,18.4,0,6.4,0,10.2,0,0,0,0,0,0,0,0
1980,2,0,0,0,0,0,7.6,0,0,13.4,20.2,0,20.4,30,0,30.4,0,78.2,46.4,0,0,133.2,90.6,0,35.2,0,23.6,20.4,19.2,16.8,,
1980,3,6,20,20,6.4,47,32,16,75,0,0,30.6,0,4.8,6.4,0,3.2,0,0,0,0,10,8.2,8.2,0,8.4,0,0,0,0,0,0
1980,4,0,0,0,10.8,22.6,0,0,8,29,3.4,0,0,0,16.8,0,0,0,0,0,0,0,38.6,0,0,0,13.8,0,3,0,2,
1980,5,0,15.6,0,0,20,0,0,0,0,0,0,0,0,0,0,17.8,0,0,0,0,33.6,0,0,0,0,0,0,0,0,0,0
1980,6,0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,
1980,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
1980,10,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,11,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,37.4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
1980,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0,19.6,0,93.6,0,1.4,0,0
1981,1,56.4,0,0,0,39,0,0,0,7.8,0,0,0,0,2.4,0,96.4,0,0,0,0,0,24.6,24.2,0,25.6,20.2,0,0,28,0,25
1981,2,0,0,0,0,0,0,34.2,19.4,0,0,0,0,0,17.6,0,0,0,22,0,2,0,8.4,0,0,0,0,0,0,,,
1981,3,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,27,0,5.2,0,72,15,0,0,0,74,0,25.6,50.2,0,11,0
1981,4,9.6,0,0,4,0,6.2,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,
1981,5,0,8.2,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0
