ano,mês,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31
1972,1,0,0,0,0,0,0,0,0,0,20.1,2.3,0,50.4,0,118.2,0,0,9.4,10.2,15.3,0,0,0,0,0,15.3,0,0,0,50.2,0
1972,2,0,0,0,0,20.2,0,35.3,0,0,0,0,0,0,48.2,0,52.3,0,73.1,0,35.2,0,0,0,25.3,0,0,0,0,0,,
1972,3,0,10,0,25.3,0,53.1,0,0,32.1,0,0,0,0,0,0,45.3,0,0,34.1,0,0,0,0,0,0,18.1,0,0,55.2,0,0
1972,4,12.6,16.3,0,2.3,2.1,0,0,0,0,0,0,13.2,2,1.1,0,0,0,0,41.5,88.6,42.5,0,0,0,0,0,6.2,0,10,10.5,
1972,5,0,18.2,10.1,1.1,3.3,0,0,0,0,6,6.6,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,17.4,0,0
1972,6,0,0,0,0,19.4,0,0,0,13.4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,
1972,7,0,0,0,0,0,0,0,0,0,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
1972,8,0,0,0,0,0,0,0,0,0,0,25,22,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1972,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,11,0,25.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1972,12,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0,0,30,0,0,18,20,0,0,14,0,0,14.8,0,19.6,0,0
1973,1,0,5.2,31.2,0,0,15.3,19.2,0,11.3,0,48.3,53.2,0,2,0,0,5,0,0,13.2,0,0,0,65.3,0,0,0,30.2,0,0,0
1973,2,0,0,0,0,35.2,0,0,0,0,38,0,0,76.3,4.2,0,0,25.2,0,5.2,20.5,0,0,22.3,35,0,55.2,0,0,,,
1973,3,0,0,0,53.4,85.2,15.2,0,44.8,16.6,18.4,0,0,0,0,0,0,0,0,25.4,7.4,23.6,19.6,52.6,35.9,0,5.2,0,0,0,0,0
1973,4,0,25.2,0,65.8,0,0,25.4,0,0,0,0,0,0,0,0,35.6,0,18.4,22.2,16,28.2,0,68.8,0,0,0,35.4,0,0,0,
1973,5,0,85.1,52.4,0,23.6,0,0,0,34.2,0,0,0,0,0,0,21.2,0,0,0,0,0,0,0,38.2,43,22.2,0,45.4,0,0,0
