ano,mês,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31
1972,1,0,0,6.1,0,0,21,0,0,36.5,0,0,0,36.1,0,0,0,0,37.4,0,0,0,0,0,8.2,0,0,0,11,0,0,0
1972,2,0,0,6.1,0,0,28,0,0,36.5,0,0,0,35.1,0,0,37,0,42.4,0,0,0,0,0,7.2,0,4.3,0,13.1,0,,
1972,3,0,5,0,8.1,0,0,12,0,0,6.4,0,0,18.3,0,7,0,6.3,13.2,0,0,0,0,0,51.2,0,0,4.1,0,28,0,0
1972,4,0,8.2,0,0,0,14.1,0,0,21,0,0,0,26.3,0,0,28,0,32,0,0,31.6,0,7.2,0,0,0,4.1,0,5,0,
1972,5,0,5,0,12.1,0,0,14.2,0,0,0,0,0,8.1,0,0,0,0,7.5,0,0,0,0,0,21.2,0,0,0,0,0,0,0
1972,6,0,0,0,0,6,0,0,0,7.1,0,0,0,0,0,14.4,0,0,0.6,0,0,0,0,0,0,0,13.5,0,0,0,0,
1972,7,0,0,0,0,16,0,0,0,0,0,0,0,7.3,0,0,0,9.3,0,0,0,0,0,0,0,14.4,0,0,0,0,0,0
1972,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1972,10,0,0,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,11,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,16.3,0,0,0,0,0,0,5.2,0,0,0,0,
1972,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
1973,1,4.2,0,23.6,4.3,0,0,0,24.4,28.6,0,10.2,11.2,15,0,23.2,0,19.2,0,0,23.4,0,0,14.6,22.4,8.2,0,0,23.2,3.2,0,0
1973,2,0,0,8.2,0,12,0,0,21.3,0,32.4,0,0,31,0,0,7.3,9.2,0,0,28.4,0,7.2,0,0,21.3,0,7,0,,,
1973,3,0,5.2,0,7.3,0,21.4,0,5,0,14.1,0,0,8.2,0,16,0,0,8.1,0,0,0,0,3.2,0,7.4,0,21,0,0,8.3,0
1973,4,0,18,0,0,31.2,17.4,0,21,0,16.1,0,0,8.1,0,6.1,0,8.2,0,32.3,0,8,0,6,0,6.5,0,0,7.1,0,28.6,
