ano,mês,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31
1972,1,0,0,0,0,0,34,0,0,0,0,5.3,75.3,10.3,34.5,0.8,0,0,2.2,0,0,74.5,37.7,0,0,0,0,9.2,0,0,0,30.1
1972,2,0,0,0,0,0,0,0,0,0,0,0,0,15,48.4,44.6,22,72,11.3,0,0.3,0.1,0,15.3,0,0,8.3,0,27.1,9.8,,
1972,3,34,50,0.5,24,11.9,0.5,0,0,0,25,25,50,66.8,10,0,0.1,0,0.1,30.5,23.1,0.5,12.9,23.5,70.1,70.1,6.9,0,5.6,15.7,5.3,0.3
1972,4,61,23,0,33,26.3,0,0,0,35,0.6,29,0,0,0.5,1.6,0.3,1.6,61,53,36.4,0,0,0,4.3,22.3,6.5,2.6,18.4,5.5,0.3,
1972,5,16.7,73.1,13.3,2.8,8.5,0,0,0,0,3,0.1,0,0,0,0,0,3.7,3.5,0.3,20,0.1,0,0,0.3,0,3.8,1.9,13.6,0,0,0
1972,6,2.4,5,0.1,1.3,0,0,0,0,0,7.3,0,0,2,3.5,11.8,0,0,0,0,1.4,0,5.4,0,0,0,0,0,0,0,0,
1972,7,0,0,0,0,0,0.8,0,0,0,0.7,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0
1972,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,8.5
1972,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1972,10,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,0,0,0,0,0
1972,11,0,0,0,0,0,0,20.5,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,1.1,13,0,6.5,
1972,12,0,0,6.5,4.5,2.3,0,0,11.7,2.1,0,0,0,0,0,0,1.6,20.2,0,0,17.8,1.8,0,6.1,3.8,0,16.2,10.2,3.2,0,4.7,0
1973,1,12.8,1.2,11.4,0,0,0,0,11.6,11.8,3.2,48.6,5.5,0,0,0,13.5,1.6,0,0,30,0,0,0,67.4,18.9,6.8,0,0,37.2,0,0
1973,2,0,0,0,0,0,0,0,0,1.2,26.8,0,27.1,0,0,0,0,3.6,25.4,8.8,0,1.2,1.9,0,1,23.2,5.1,2,0,,,
1973,3,0,0,0,35.3,0,23.2,4.4,10,20,22.6,71.6,0,2.2,0,7,2.2,5.9,0,0,0,43.2,20.5,34.4,50.2,0,17.3,27.3,5,14,0,0
1973,4,0,20.3,1.6,15,36.7,7.2,7.6,8.7,54.8,0,13,0,3.8,5.6,0,27.3,3.2,11.6,0,19,23,1.8,5.4,0,2.6,25.3,5.8,11.1,0,17.3,
1973,5,21.7,40.2,30.7,20,21.3,0,0,0,0,29.7,0,0,19.4,0,2.2,19.5,0,0,0,0,0,0,0,5,7,12.8,0,20.5,5,7.3,10
1973,6,0,0,0,0,14.2,0,0,0,0,0,0,4.6,0,0,0,0,0,13,0,0,0,0,0,18,0,0,0,0,4.8,0,
1973,7,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,38.8,0.5,2.8,0,0,0
1973,8,0,0,0,0,0,29.2,0,0,2.5,0,0,0,0,0,8.8,2,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,9,0,0,0,0,0,0,0,0,0,0,16.4,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,8.4,
1973,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,18.9,0,19.9,0,0,0,4.6,0,0,0,0,8,0,0
1973,11,0,0,0,4.8,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,40.6,
1973,12,0,5,0,0,0,0,0,0,0,2.2,0,0,10.5,0,8,0,45,50,0,18,0,12.3,0,0,0,0,0,2.3,0,2,0
1974,1,0,0,0,0,0,0,0,0,0,9,0,0,0,44.5,14,15,0,6,2,41.5,10,7.5,25.4,2.2,0,0,0,20.2,0,0,41.6
1974,2,0.8,0,0,5,0.5,2.5,4.2,30.2,3.8,0,0,0,0,0,0,0,20,29,28,40,13,2.2,15,0,0,33,14,29.4,,,
1974,3,19.5,0.2,1.8,32.2,12,0,0,3.5,6.4,9,17.2,2.2,2,0,8,0,14.9,0,12,45,59.8,0,0,2.6,1.8,4.5,0,3.6,0,0,0
1974,4,0,2.6,1.6,1.7,0,2.5,3.5,3.7,4.5,5.8,0.1,2.5,6.8,0.8,1,2,1,5.5,8.4,0,2.5,4.5,7.1,8.7,1.8,1.6,1.7,0.2,2,0,
1974,5,21.4,1.8,0.5,4.2,3,6.4,22.1,4,0.3,1.4,2.7,0,1,0.6,0,1.3,3.4,0,0,1,0,3.5,1,0,0.2,3.8,0,0,0,0,0
1974,6,0,1.4,1.1,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,4.1,0,0,0,0,0.7,0,0,
1974,7,0,0,0,0,0,0,0.5,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
1974,9,0,0,2.8,2.3,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.3,0,0,
1974,10,0,0,0,0,0,0,0,0,0.2,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0.4,0.3,0,0,0,0,0,0,0
1974,11,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,
1974,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0,0.7,0.2,0,0,0.8
1975,1,1.1,0.5,0.1,0.1,0.4,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0.5,0,0,0,1,3,0,1.1,2.7
1975,2,0,3.4,3.8,3.1,1,0.9,0,0.5,0,0,1.8,0,0,1.3,0.3,4.6,0,1.8,0,1.2,2.9,0,0,0,1.2,0,0,3.9,,,
