ano,mês,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31
1972,1,0,0,0,0,0,34,0,0,0,0,5.3,75.3,10.3,34.5,0.8,0,0,2.2,0,0,74.5,37.7,0,0,0,0,9.2,0,0,0,284.8
1972,2,9.7,0,0,0,28,0,0,3.2,0,0,0,0,22.4,39.1,0,0,19.1,3.5,0,0,5.2,0,4.6,0.6,0,0,0,21.2,2.5,,
1972,3,22.6,20.6,0,8.2,11.6,0,0,0,0,8.2,0.2,0,5.4,4,0,4,0,0,52.6,0,15.6,0,9.2,0,23,12.6,33.4,10.2,40,6.3,0
1972,4,0,15.4,0,4.9,18.6,0,0,0,0,0,29.2,6.2,0,0,15,0,0,11.4,14,19.6,25,0,0,3.5,0,0,17.7,14.2,23.1,0,
1972,5,6.2,88.8,5,5.2,3.2,15.8,0,0,0,0,0,0,0,0,0,0,3.9,0,0,10,0,0,0,2.3,0,0,0,7.2,0,0,0
1972,6,0,3.6,2,0,0,0,0,0,0,0,1.2,0,0,0,15.4,0,0,0,6.6,0,0,4,0,0,0,0,0,0,0,0,
1972,7,0,0,0,0,0,0,0,0,0,0,0,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,8,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,15
1972,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1972,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,0
1972,11,0,0,0,0,0,0,29,0,0,0,0,0,0,0,14.2,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,25.2,
1972,12,0,0,0,0,0,0,0,19.4,1.2,7.8,0,0,0,0,25,54,21.6,0,0,72,15.8,24.4,14.6,0,39.6,13.8,24.2,0,0,0,0
1973,1,43,3.2,20,0,0,0,0,7.8,12.4,4.2,41,14.6,0,1.4,0,31.6,3.6,0,8.4,20.8,31,0.2,0,0,18.2,14.2,9,26,0,0,4
1973,2,0,0,0,0,16.4,0,0,0,0.9,26.4,8,19.4,0.1,6.1,0,1,0,69,19.6,0,1.4,3.5,3.5,20.9,8.3,61.2,0,1,,,
1973,3,0,0,0,28.6,2.5,16,1.5,7.6,8.8,5.2,38.2,0.1,2,0,0,3.2,0,0,0,0,36.4,14.4,56,50.2,0.1,22.2,5.2,17,90,4.4,0
1973,4,13.8,3.1,7.6,20.6,60.4,9.4,3.2,6.4,15.2,0,22.3,0,6,3.4,0,34,0,3.1,15.4,12.6,55,0,14,0,12.8,24.2,7.4,38.4,34.2,4,
1973,5,15.6,63,29.2,3.4,33.6,1.3,2.2,7.4,0,15,7.2,0,12.6,0,0,9,4.6,0.8,0,0.7,0,0,0,0,0.4,0,4.2,5.2,10,2.2,4.6
1973,6,0,4.2,0,9,7.6,0,0,0,0,0,0,1.3,0,0,0,2.9,0,6,14.2,0,0,8.2,0,0,8,0,0,4.4,13,0.6,
1973,7,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,1.6,4.2,10.4,25.6,17.6,5.8,0,8.6,5.2
1973,8,0,0,0,0,0,43.2,0,0,0,0,0,0,0.8,0,8.4,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,9,0,0,0,0,0,0,0,0,0,0,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,
1973,10,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,2.5,0,0,0,0,0,0
1973,11,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,
1973,12,0,27,0,0,0,1.3,0,0,0.2,27,0,12.4,0,3,0,15,34.4,2.8,0,17,0,13.4,0,0.6,0,0,0,1,4.8,4.6,0
1974,1,0,0,0,0,0,1.6,0,0,1.2,10.4,2.8,2.6,47.8,23,11.2,17.6,0,4.8,30,8.4,73.4,0.1,3.4,22.8,0,18,2.8,21.6,0,19.4,0
1974,2,11.4,16.2,0,3,6.6,5.2,4.4,64.6,4.4,0,0.1,11.4,0,5.8,0.2,0,32.8,5.8,59.2,11.4,9.2,0.3,18,0,4.6,15.8,21,32.8,,,
